EXAM_ID	BATCH	LEVEL
A1ML_221219_01_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_221219_02_01_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_221219_02_02_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_221219_03_01_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_221219_03_02_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_221219_04_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_221219_05_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_221219_06_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_230414_01_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_230414_03_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_230414_04_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_230414_05_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_230414_06_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_230414_07_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_230414_08_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_230414_09_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_230414_10_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_230414_11_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_230414_12_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_230414_13_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231123_01_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231123_02_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231123_04_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231123_05_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231123_06_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231123_07_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231123_08_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231123_09_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231123_10_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231123_11_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231123_12_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231123_13_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231123_14_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231123_15_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231124_02_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231124_03_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231124_04_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231124_05_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231124_07_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231124_08_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231124_09_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231124_11_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A1ML_231124_13_anonym_audio	UJOP/CCE-A1_2024_06_11	A1
A2ML_220919_02_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_220919_02_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_220919_03_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_220919_03_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_01_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_01_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_02_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_02_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_03_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_03_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_04_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_04_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_05_01_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
A2ML_221205_05_02_anonym_audio	UJOP/CCE-A2_2024_01_26	A2
