EXAM_ID	EXAM_PART_ID	MODEL_ID	LEVEL	TRUTH_RES	TRUTH_PERC	PRED_RES	PRED_PERC
B1ML_230221_01	B1ML_230221_01	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.22984	True	
B1ML_230221_02	B1ML_230221_02	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.566332	True	
B1ML_230221_03	B1ML_230221_03	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.611884	True	
B1ML_230221_04	B1ML_230221_04	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.716612	True	
B1ML_230221_05	B1ML_230221_05	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.704912	True	
B1ML_230221_06	B1ML_230221_06	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.394628	True	
B1ML_230221_07	B1ML_230221_07	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.507832	True	
B1ML_230221_08	B1ML_230221_08	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.821288	True	
B1ML_230221_09	B1ML_230221_09	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.731588	True	
B1ML_230221_10	B1ML_230221_10	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.79664	True	
B1ML_230221_11	B1ML_230221_11	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.49192	True	
B1ML_230221_12	B1ML_230221_12	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.419692	True	
B1ML_230221_13	B1ML_230221_13	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.669864	True	
B1ML_230310_01	B1ML_230310_01	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.926328	True	
B1ML_230310_02	B1ML_230310_02	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.838552	True	
B1ML_230310_03	B1ML_230310_03	pass_fail.deepseek-r1-70b.rs=42	B1	True	1.0	True	
B1ML_230310_04	B1ML_230310_04	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.851604	True	
B1ML_230310_05	B1ML_230310_05	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.68796	True	
B1ML_230310_06	B1ML_230310_06	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.721188	True	
B1ML_230424_01	B1ML_230424_01_01	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.634608	True	
B1ML_230424_01	B1ML_230424_01_02	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.634608	True	
B1ML_230424_02	B1ML_230424_02	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.731588	True	
B1ML_230424_03	B1ML_230424_03	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.049972	True	
B1ML_230424_04	B1ML_230424_04	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.505232	True	
B1ML_230424_05	B1ML_230424_05_01	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.353028	True	
B1ML_230424_05	B1ML_230424_05_02	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.353028	True	
B1ML_230424_07	B1ML_230424_07_01	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.243204	True	
B1ML_230424_07	B1ML_230424_07_02	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.243204	True	
B1ML_230424_08	B1ML_230424_08	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.686348	True	
B1ML_230424_09	B1ML_230424_09_01	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.6786	True	
B1ML_230424_09	B1ML_230424_09_02	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.6786	True	
B1ML_230424_10	B1ML_230424_10_01	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.649948	True	
B1ML_230424_10	B1ML_230424_10_02	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.649948	True	
B1ML_230424_11	B1ML_230424_11_01	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.438256	True	
B1ML_230424_11	B1ML_230424_11_02	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.438256	True	
B1ML_230424_12	B1ML_230424_12_01	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.661284	True	
B1ML_230424_12	B1ML_230424_12_02	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.661284	True	
B1ML_230424_13	B1ML_230424_13	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.081172	True	
B1ML_230424_14	B1ML_230424_14	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.607932	True	
B1ML_230424_15	B1ML_230424_15_01	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.59826	True	
B1ML_230424_15	B1ML_230424_15_02	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.59826	True	
B1ML_230424_17	B1ML_230424_17_01	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.556608	True	
B1ML_230424_17	B1ML_230424_17_02	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.556608	True	
B1ML_240109_01	B1ML_240109_01	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.611884	True	
B1ML_240109_04	B1ML_240109_04	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.619684	True	
B1ML_240109_07	B1ML_240109_07	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.578468	True	
B1ML_240109_08	B1ML_240109_08	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.50492	True	
B1ML_240109_09	B1ML_240109_09	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.634608	True	
B1ML_240109_10	B1ML_240109_10	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.414492	True	
B1ML_240109_11	B1ML_240109_11	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.514592	True	
B1ML_240109_12	B1ML_240109_12	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.678288	True	
B1ML_240109_13	B1ML_240109_13	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.749216	True	
B1ML_240109_14	B1ML_240109_14	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.984412	True	
B1ML_240109_15	B1ML_240109_15	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.492284	True	
B1ML_240109_16	B1ML_240109_16	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.57278	True	
B1ML_240109_17	B1ML_240109_17	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.894296	True	
B1ML_240109_18	B1ML_240109_18	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.719732	True	
B1ML_240109_19	B1ML_240109_19	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.68094	True	
B1ML_240109_20	B1ML_240109_20	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.757432	True	
B1ML_240109_21	B1ML_240109_21	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.652288	True	
B1ML_240109_22	B1ML_240109_22	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.788996	True	
B1ML_240109_23	B1ML_240109_23	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.634608	True	
B1ML_240109_24	B1ML_240109_24	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.744068	True	
B1ML_240109_25	B1ML_240109_25	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.704444	True	
B1ML_240109_26	B1ML_240109_26	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.739856	True	
B1ML_240109_27	B1ML_240109_27	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.909272	True	
B1ML_240109_28	B1ML_240109_28	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.76232	True	
B1ML_240109_29	B1ML_240109_29	pass_fail.deepseek-r1-70b.rs=42	B1	True	1.0	True	
B1ML_240109_30	B1ML_240109_30	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.878592	True	
B1ML_240109_31	B1ML_240109_31	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.819832	True	
B1ML_240109_32	B1ML_240109_32	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.70408	True	
B1ML_240109_33	B1ML_240109_33	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.786396	True	
B1ML_240115_01	B1ML_240115_01	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.5291	True	
B1ML_240115_02	B1ML_240115_02	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.815932	True	
B1ML_240115_03	B1ML_240115_03	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.737828	True	
B1ML_240115_04	B1ML_240115_04	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.442312	False	
B1ML_240115_06	B1ML_240115_06	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.27742	True	
B1ML_240115_07	B1ML_240115_07	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.557804	True	
B1ML_240115_08	B1ML_240115_08	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.39416	True	
B1ML_240115_10	B1ML_240115_10	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.746408	True	
B1ML_240115_11	B1ML_240115_11	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.8346	True	
B1ML_240115_12	B1ML_240115_12	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.823316	True	
B1ML_240115_13	B1ML_240115_13	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.854516	True	
B1ML_240115_14	B1ML_240115_14	pass_fail.deepseek-r1-70b.rs=42	B1	True	0.643188	True	
B1ML_240115_15	B1ML_240115_15	pass_fail.deepseek-r1-70b.rs=42	B1	False	0.433004	True	
