level	transcript_file	exam_id	exam_part_id	modelid	pred.total_score	pred.task_fulfillment	pred.interaction	pred.lexical_resource	pred.grammatical_accuracy	is_complete	avg.ex1_criterion1_score	avg.ex1_criterion2_score	avg.ex1_lexgram_score	avg.ex1_phonol_score	avg.ex2_criterion1_score	avg.ex2_criterion2_score	avg.ex2_socling_score	avg.ex2_lexgram_score	avg.ex2_phonol_score	avg.ex3_criterion1_score	avg.ex3_criterion2_score	avg.total_score	avg.ex1_criterion1_perc	avg.ex1_criterion2_perc	avg.ex1_lexgram_perc	avg.ex1_phonol_perc	avg.ex2_criterion1_perc	avg.ex2_criterion2_perc	avg.ex2_socling_perc	avg.ex2_lexgram_perc	avg.ex2_phonol_perc	avg.ex3_criterion1_perc	avg.ex3_criterion2_perc	avg.total_perc	avg.etalon_perc	avg.etalon_score	avg.result	avg.ex1_selfdescr_score	avg.ex1_eventdescr_score	avg.ex2_imgdescr_score	avg.ex2_response_score	avg.ex3_questions_score	avg.ex3_lexgram_score	avg.total_interact_score	avg.total_cohesion_score	avg.total_phonol_score	avg.ex1_selfdescr_perc	avg.ex1_eventdescr_perc	avg.ex2_imgdescr_perc	avg.ex2_response_perc	avg.ex3_questions_perc	avg.ex3_lexgram_perc	avg.total_interact_perc	avg.total_cohesion_perc	avg.total_phonol_perc	avg.ex1_response_score	avg.ex1_lexical_score	avg.ex1_grammar_score	avg.ex2_questions_score	avg.ex2_lexical_score	avg.ex2_grammar_score	avg.total_phoninter_score	avg.ex1_response_perc	avg.ex1_lexical_perc	avg.ex1_grammar_perc	avg.ex2_questions_perc	avg.ex2_lexical_perc	avg.ex2_grammar_perc	avg.total_phoninter_perc	avg.ex1_imgdescr_score	avg.ex2_narrat_score	avg.ex3_commgoal_score	avg.ex3_interact_score	avg.ex3_lexical_score	avg.ex3_grammar_score	avg.ex1_imgdescr_perc	avg.ex2_narrat_perc	avg.ex3_commgoal_perc	avg.ex3_interact_perc	avg.ex3_lexical_perc	avg.ex3_grammar_perc	avg.ex1_criterion3_score	avg.ex1_organization_score	avg.ex1_ptn_score	avg.ex1_wordord_score	avg.ex1_lexical1_score	avg.ex1_lexical2_score	avg.ex2_criterion3_score	avg.ex2_organization_score	avg.ex2_ptn_score	avg.ex2_wordord_score	avg.ex2_lexical1_score	avg.ex2_lexical2_score	avg.total_phonol1_score	avg.total_phonol2_score	avg.ex1_criterion3_perc	avg.ex1_organization_perc	avg.ex1_ptn_perc	avg.ex1_wordord_perc	avg.ex1_lexical1_perc	avg.ex1_lexical2_perc	avg.ex2_criterion3_perc	avg.ex2_organization_perc	avg.ex2_ptn_perc	avg.ex2_wordord_perc	avg.ex2_lexical1_perc	avg.ex2_lexical2_perc	avg.total_phonol1_perc	avg.total_phonol2_perc
A1	A1ML_221219_01_anonym_audio.simple.txt	A1ML_221219_01	A1ML_221219_01	llama3	53.75	65.0	75.0	42.5	32.5	True	1.0	2.0	0.3333333333333333	1.0	1.3333333333333333	2.0	0.3333333333333333	0.0	1.0	0.3333333333333333	0.0	9.333333333333334	1.0	1.0	0.1666666666666666	0.5	0.6666666666666666	1.0	0.3333333333333333	0.0	1.0	0.3333333333333333	0.0	0.5490196078431372	0.561776470588235	9.5502	True																																																																								
A1	A1ML_221219_02_01_anonym_audio.simple.txt	A1ML_221219_02	A1ML_221219_02_01	llama3	61.62	62.5	72.5	55.0	56.5	False	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	0.3333333333333333	1.0	0.3333333333333333	12.666666666666666	1.0	1.0	0.5	0.5	1.0	1.0	1.0	0.5	0.3333333333333333	1.0	0.3333333333333333	0.7450980392156863	0.748194117647059	12.7193	True																																																																								
A1	A1ML_221219_02_02_anonym_audio.simple.txt	A1ML_221219_02	A1ML_221219_02_02	llama3	48.75	60.0	40.0	50.0	45.0	False	1.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	0.3333333333333333	1.0	0.3333333333333333	12.666666666666666	1.0	1.0	0.5	0.5	1.0	1.0	1.0	0.5	0.3333333333333333	1.0	0.3333333333333333	0.7450980392156863	0.748194117647059	12.7193	True																																																																								
A1	A1ML_221219_03_01_anonym_audio.simple.txt	A1ML_221219_03	A1ML_221219_03_01	llama3	42.5	45.0	65.0	35.0	25.0	False	1.0	2.0	1.3333333333333333	1.0	1.3333333333333333	1.3333333333333333	0.6666666666666666	1.0	1.0	0.3333333333333333	0.0	11.0	1.0	1.0	0.6666666666666666	0.5	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.5	1.0	0.3333333333333333	0.0	0.6470588235294118	0.635023529411765	10.7954	True																																																																								
A1	A1ML_221219_03_02_anonym_audio.simple.txt	A1ML_221219_03	A1ML_221219_03_02	llama3	57.5	52.5	42.5	62.5	72.5	False	1.0	2.0	1.3333333333333333	1.0	1.3333333333333333	1.3333333333333333	0.6666666666666666	1.0	1.0	0.3333333333333333	0.0	11.0	1.0	1.0	0.6666666666666666	0.5	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.5	1.0	0.3333333333333333	0.0	0.6470588235294118	0.635023529411765	10.7954	True																																																																								
A1	A1ML_221219_04_anonym_audio.simple.txt	A1ML_221219_04	A1ML_221219_04	llama3	77.5	85.0	80.0	75.0	70.0	True	1.0	2.0	1.75	2.0	2.0	2.0	1.0	2.0	1.0	1.0	1.0	16.75	1.0	1.0	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9852941176470588	0.9768	16.6056	True																																																																								
A1	A1ML_221219_05_anonym_audio.simple.txt	A1ML_221219_05	A1ML_221219_05	llama3	76.25	81.67	90.0	71.67	61.67	True	1.0	2.0	1.6666666666666667	1.6666666666666667	2.0	2.0	1.0	1.3333333333333333	1.0	0.3333333333333333	0.0	14.0	1.0	1.0	0.8333333333333334	0.8333333333333334	1.0	1.0	1.0	0.6666666666666666	1.0	0.3333333333333333	0.0	0.823529411764706	0.836323529411765	14.2175	True																																																																								
A1	A1ML_221219_06_anonym_audio.simple.txt	A1ML_221219_06	A1ML_221219_06	llama3	70.83	85.0	78.33	65.0	55.0	True	1.0	2.0	1.0	1.0	2.0	2.0	1.0	0.3333333333333333	0.6666666666666666	1.0	1.0	13.0	1.0	1.0	0.5	0.5	1.0	1.0	1.0	0.1666666666666666	0.6666666666666666	1.0	1.0	0.7647058823529411	0.772911764705882	13.1395	True																																																																								
A1	A1ML_230414_01_anonym_audio.simple.txt	A1ML_230414_01	A1ML_230414_01	llama3	60.0	70.0	70.0	55.0	45.0	True	1.0	1.75	1.0	0.5	0.75	1.0	1.0	0.25	0.0	1.0	0.75	9.0	1.0	0.875	0.5	0.25	0.375	0.5	1.0	0.125	0.0	1.0	0.75	0.5294117647058824	0.532335294117647	9.0497	True																																																																								
A1	A1ML_230414_03_anonym_audio.simple.txt	A1ML_230414_03	A1ML_230414_03	llama3	82.92	78.33	88.33	80.0	85.0	True	1.0	2.0	1.3333333333333333	1.6666666666666667	2.0	2.0	1.0	1.0	1.0	1.0	1.0	15.0	1.0	1.0	0.6666666666666666	0.8333333333333334	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.8823529411764706	0.89054705882353	15.1393	True																																																																								
