level	transcript_file	modelid	randseed	prediction	exam_id	exam_part_id	avg.ex1_criterion1_score	avg.ex1_criterion2_score	avg.ex1_lexgram_score	avg.ex1_phonol_score	avg.ex2_criterion1_score	avg.ex2_criterion2_score	avg.ex2_socling_score	avg.ex2_lexgram_score	avg.ex2_phonol_score	avg.ex3_criterion1_score	avg.ex3_criterion2_score	avg.total_score	avg.ex1_criterion1_perc	avg.ex1_criterion2_perc	avg.ex1_lexgram_perc	avg.ex1_phonol_perc	avg.ex2_criterion1_perc	avg.ex2_criterion2_perc	avg.ex2_socling_perc	avg.ex2_lexgram_perc	avg.ex2_phonol_perc	avg.ex3_criterion1_perc	avg.ex3_criterion2_perc	avg.total_perc	avg.etalon_perc	avg.etalon_score	avg.result	avg.ex1_selfdescr_score	avg.ex1_eventdescr_score	avg.ex2_imgdescr_score	avg.ex2_response_score	avg.ex3_questions_score	avg.ex3_lexgram_score	avg.total_interact_score	avg.total_cohesion_score	avg.total_phonol_score	avg.ex1_selfdescr_perc	avg.ex1_eventdescr_perc	avg.ex2_imgdescr_perc	avg.ex2_response_perc	avg.ex3_questions_perc	avg.ex3_lexgram_perc	avg.total_interact_perc	avg.total_cohesion_perc	avg.total_phonol_perc	avg.ex1_response_score	avg.ex1_lexical_score	avg.ex1_grammar_score	avg.ex2_questions_score	avg.ex2_lexical_score	avg.ex2_grammar_score	avg.total_phoninter_score	avg.ex1_response_perc	avg.ex1_lexical_perc	avg.ex1_grammar_perc	avg.ex2_questions_perc	avg.ex2_lexical_perc	avg.ex2_grammar_perc	avg.total_phoninter_perc	avg.ex1_imgdescr_score	avg.ex2_narrat_score	avg.ex3_commgoal_score	avg.ex3_interact_score	avg.ex3_lexical_score	avg.ex3_grammar_score	avg.ex1_imgdescr_perc	avg.ex2_narrat_perc	avg.ex3_commgoal_perc	avg.ex3_interact_perc	avg.ex3_lexical_perc	avg.ex3_grammar_perc	avg.ex1_criterion3_score	avg.ex1_organization_score	avg.ex1_ptn_score	avg.ex1_wordord_score	avg.ex1_lexical1_score	avg.ex1_lexical2_score	avg.ex2_criterion3_score	avg.ex2_organization_score	avg.ex2_ptn_score	avg.ex2_wordord_score	avg.ex2_lexical1_score	avg.ex2_lexical2_score	avg.total_phonol1_score	avg.total_phonol2_score	avg.ex1_criterion3_perc	avg.ex1_organization_perc	avg.ex1_ptn_perc	avg.ex1_wordord_perc	avg.ex1_lexical1_perc	avg.ex1_lexical2_perc	avg.ex2_criterion3_perc	avg.ex2_organization_perc	avg.ex2_ptn_perc	avg.ex2_wordord_perc	avg.ex2_lexical1_perc	avg.ex2_lexical2_perc	avg.total_phonol1_perc	avg.total_phonol2_perc
A1	A1ML_230414_04-LR-from_scratch.simple.txt	deepseek-r1-70b	42	True	A1ML_230414_04	A1ML_230414_04	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.6666666666666667	1.0	1.0	1.0	16.666666666666668	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8333333333333334	1.0	1.0	1.0	0.9803921568627452	0.972917647058824	16.5396	True																																																																								
A1	A1ML_230414_04-LR-from_scratch.simple.txt	llama3	42	True	A1ML_230414_04	A1ML_230414_04	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.6666666666666667	1.0	1.0	1.0	16.666666666666668	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8333333333333334	1.0	1.0	1.0	0.9803921568627452	0.972917647058824	16.5396	True																																																																								
A1	A1ML_230414_08-LR-from_scratch.simple.txt	deepseek-r1-70b	42	True	A1ML_230414_08	A1ML_230414_08	1.0	2.0	1.0	1.6666666666666667	2.0	1.6666666666666667	1.0	1.3333333333333333	1.0	1.0	0.0	13.666666666666666	1.0	1.0	0.5	0.8333333333333334	1.0	0.8333333333333334	1.0	0.6666666666666666	1.0	1.0	0.0	0.8039215686274509	0.816717647058824	13.8842	True																																																																								
A1	A1ML_230414_08-LR-from_scratch.simple.txt	llama3	42	True	A1ML_230414_08	A1ML_230414_08	1.0	2.0	1.0	1.6666666666666667	2.0	1.6666666666666667	1.0	1.3333333333333333	1.0	1.0	0.0	13.666666666666666	1.0	1.0	0.5	0.8333333333333334	1.0	0.8333333333333334	1.0	0.6666666666666666	1.0	1.0	0.0	0.8039215686274509	0.816717647058824	13.8842	True																																																																								
A1	A1ML_230414_11-ET-from_scratch.simple.txt	deepseek-r1-70b	42	True	A1ML_230414_11	A1ML_230414_11	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.75	1.0	1.0	0.75	16.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.875	1.0	1.0	0.75	0.9705882352941176	0.977252941176471	16.6133	True																																																																								
A1	A1ML_230414_11-ET-from_scratch.simple.txt	llama3	42	True	A1ML_230414_11	A1ML_230414_11	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.75	1.0	1.0	0.75	16.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.875	1.0	1.0	0.75	0.9705882352941176	0.977252941176471	16.6133	True																																																																								
A1	A1ML_230414_12-LR-from_scratch.simple.txt	deepseek-r1-70b	42	True	A1ML_230414_12	A1ML_230414_12	1.0	2.0	1.0	1.3333333333333333	2.0	2.0	1.0	1.3333333333333333	1.0	1.0	1.0	14.666666666666666	1.0	1.0	0.5	0.6666666666666666	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.8627450980392156	0.850688235294118	14.4617	True																																																																								
A1	A1ML_230414_12-LR-from_scratch.simple.txt	llama3	42	True	A1ML_230414_12	A1ML_230414_12	1.0	2.0	1.0	1.3333333333333333	2.0	2.0	1.0	1.3333333333333333	1.0	1.0	1.0	14.666666666666666	1.0	1.0	0.5	0.6666666666666666	1.0	1.0	1.0	0.6666666666666666	1.0	1.0	1.0	0.8627450980392156	0.850688235294118	14.4617	True																																																																								
A1	A1ML_231123_04-LR-from_scratch.simple.txt	deepseek-r1-70b	42	True	A1ML_231123_04	A1ML_231123_04	1.0	1.3333333333333333	1.0	2.0	2.0	2.0	1.0	1.0	0.6666666666666666	0.0	0.0	12.0	1.0	0.6666666666666666	0.5	1.0	1.0	1.0	1.0	0.5	0.6666666666666666	0.0	0.0	0.7058823529411765	0.698435294117647	11.8734	True																																																																								
A1	A1ML_231123_04-LR-from_scratch.simple.txt	llama3	42	True	A1ML_231123_04	A1ML_231123_04	1.0	1.3333333333333333	1.0	2.0	2.0	2.0	1.0	1.0	0.6666666666666666	0.0	0.0	12.0	1.0	0.6666666666666666	0.5	1.0	1.0	1.0	1.0	0.5	0.6666666666666666	0.0	0.0	0.7058823529411765	0.698435294117647	11.8734	True																																																																								
